DATE(HOURS/DAY/MONTH/YEAR),ENERGY CONSUMPTION,TEMPERATURE(C),PRESSURE,HUMIDITY,WEATHER CODE,WIND DIRECTION(DEGREE),WIND SPEED(KMPH),WORKDAY,PUBLIC HOLIDAY
2021-01-28 00:00, 0, 24, 1011, 16, 113,53, 14, 1, 0
2021-01-28 01:00, 0, 23, 1011, 15, 113,55, 15, 1, 0
2021-01-28 02:00, 0, 23, 1011, 15, 113,57, 16, 1, 0
2021-01-28 03:00, 0, 22, 1011, 14, 113,59, 17, 1, 0
2021-01-28 04:00, 0, 21, 1011, 13, 113,61, 17, 1, 0
2021-01-28 05:00, 0, 21, 1011, 13, 113,63, 18, 1, 0
2021-01-28 06:00, 0, 21, 1012, 12, 113,66, 18, 1, 0
2021-01-28 07:00, 0, 20, 1012, 11, 113,69, 18, 1, 0
2021-01-28 08:00, 0, 22, 1013, 11, 113,73, 18, 1, 0
2021-01-28 09:00, 0, 23, 1013, 10, 113,77, 18, 1, 0
2021-01-28 10:00, 0, 26, 1012, 9, 113,77, 17, 1, 0
2021-01-28 11:00, 0, 29, 1012, 9, 113,76, 17, 1, 0
2021-01-28 12:00, 0, 31, 1011, 8, 113,75, 16, 1, 0
2021-01-28 13:00, 0, 32, 1010, 8, 113,68, 15, 1, 0
2021-01-28 14:00, 0, 34, 1009, 8, 113,60, 14, 1, 0
2021-01-28 15:00, 0, 35, 1008, 8, 113,53, 13, 1, 0
2021-01-28 16:00, 0, 34, 1009, 9, 113,48, 13, 1, 0
2021-01-28 17:00, 0, 33, 1009, 9, 113,44, 13, 1, 0
2021-01-28 18:00, 0, 32, 1009, 10, 113,40, 13, 1, 0
2021-01-28 19:00, 0, 30, 1010, 11, 113,42, 13, 1, 0
2021-01-28 20:00, 0, 29, 1011, 12, 113,45, 14, 1, 0
2021-01-28 21:00, 0, 28, 1012, 12, 113,48, 14, 1, 0
2021-01-28 22:00, 0, 26, 1012, 13, 113,50, 14, 1, 0
2021-01-28 23:00, 0, 25, 1013, 13, 113,52, 15, 1, 0
2021-01-29 00:00, 0, 24, 1013, 14, 113,54, 15, 1, 0
2021-01-29 01:00, 0, 23, 1013, 13, 113,53, 16, 1, 0
2021-01-29 02:00, 0, 22, 1012, 13, 113,53, 16, 1, 0
2021-01-29 03:00, 0, 21, 1012, 13, 113,52, 17, 1, 0
2021-01-29 04:00, 0, 21, 1012, 13, 113,54, 17, 1, 0
2021-01-29 05:00, 0, 20, 1013, 12, 113,57, 17, 1, 0
2021-01-29 06:00, 0, 20, 1013, 12, 113,59, 18, 1, 0
2021-01-29 07:00, 0, 20, 1013, 11, 113,62, 18, 1, 0
2021-01-29 08:00, 0, 21, 1014, 11, 113,64, 19, 1, 0
2021-01-29 09:00, 0, 23, 1014, 11, 113,66, 20, 1, 0
2021-01-29 10:00, 0, 25, 1013, 10, 113,66, 19, 1, 0
2021-01-29 11:00, 0, 27, 1013, 10, 113,66, 19, 1, 0
2021-01-29 12:00, 0, 30, 1012, 9, 113,67, 18, 1, 0
2021-01-29 13:00, 0, 32, 1011, 9, 113,63, 17, 1, 0
2021-01-29 14:00, 0, 33, 1010, 9, 113,60, 16, 1, 0
2021-01-29 15:00, 0, 33, 1010, 9, 113,57, 15, 1, 0
2021-01-29 16:00, 0, 34, 1010, 10, 113,51, 15, 1, 0
2021-01-29 17:00, 0, 32, 1010, 11, 113,45, 15, 1, 0
2021-01-29 18:00, 0, 31, 1010, 12, 113,40, 14, 1, 0
2021-01-29 19:00, 0, 29, 1010, 13, 113,41, 15, 1, 0
2021-01-29 20:00, 0, 28, 1011, 14, 113,43, 15, 1, 0
2021-01-29 21:00, 0, 27, 1012, 15, 113,44, 16, 1, 0
2021-01-29 22:00, 0, 25, 1012, 16, 113,46, 16, 1, 0
2021-01-29 23:00, 0, 24, 1013, 17, 113,49, 17, 1, 0
2021-01-30 00:00, 0, 23, 1013, 17, 113,51, 17, 0, 0
2021-01-30 01:00, 0, 22, 1013, 18, 113,54, 17, 0, 0
2021-01-30 02:00, 0, 22, 1012, 19, 113,56, 17, 0, 0
2021-01-30 03:00, 0, 21, 1012, 20, 113,58, 17, 0, 0
2021-01-30 04:00, 0, 20, 1012, 20, 113,59, 17, 0, 0
2021-01-30 05:00, 0, 20, 1013, 20, 113,60, 18, 0, 0
2021-01-30 06:00, 0, 19, 1013, 21, 113,60, 18, 0, 0
2021-01-30 07:00, 0, 19, 1013, 19, 113,61, 18, 0, 0
2021-01-30 08:00, 0, 20, 1013, 17, 113,62, 18, 0, 0
2021-01-30 09:00, 0, 22, 1014, 16, 113,63, 19, 0, 0
2021-01-30 10:00, 0, 25, 1013, 14, 113,66, 18, 0, 0
2021-01-30 11:00, 0, 27, 1013, 13, 113,69, 17, 0, 0
2021-01-30 12:00, 0, 30, 1012, 11, 113,72, 15, 0, 0
2021-01-30 13:00, 0, 32, 1011, 10, 113,67, 14, 0, 0
2021-01-30 14:00, 0, 33, 1010, 10, 113,62, 12, 0, 0
2021-01-30 15:00, 0, 34, 1009, 9, 113,57, 10, 0, 0
2021-01-30 16:00, 0, 34, 1009, 10, 113,50, 11, 0, 0
2021-01-30 17:00, 0, 33, 1009, 11, 113,44, 12, 0, 0
2021-01-30 18:00, 0, 32, 1009, 12, 113,38, 12, 0, 0
2021-01-30 19:00, 0, 31, 1010, 13, 113,40, 13, 0, 0
2021-01-30 20:00, 0, 29, 1011, 14, 113,42, 13, 0, 0
2021-01-30 21:00, 0, 28, 1011, 15, 113,44, 14, 0, 0
2021-01-30 22:00, 0, 26, 1012, 15, 113,48, 13, 0, 0
2021-01-30 23:00, 0, 24, 1012, 16, 113,52, 13, 0, 0
2021-01-31 00:00, 0, 23, 1012, 16, 113,56, 13, 0, 0
2021-01-31 01:00, 0, 22, 1012, 17, 113,57, 12, 0, 0
2021-01-31 02:00, 0, 22, 1011, 17, 113,57, 12, 0, 0
2021-01-31 03:00, 0, 20, 1011, 18, 113,57, 12, 0, 0
2021-01-31 04:00, 0, 20, 1011, 19, 113,58, 13, 0, 0
2021-01-31 05:00, 0, 19, 1011, 20, 113,59, 13, 0, 0
2021-01-31 06:00, 0, 19, 1012, 21, 113,60, 13, 0, 0
2021-01-31 07:00, 0, 19, 1012, 20, 113,64, 14, 0, 0
2021-01-31 08:00, 0, 20, 1012, 19, 113,68, 14, 0, 0
2021-01-31 09:00, 0, 23, 1012, 18, 113,72, 14, 0, 0
2021-01-31 10:00, 0, 26, 1012, 16, 113,78, 12, 0, 0
2021-01-31 11:00, 0, 29, 1011, 14, 113,85, 10, 0, 0
2021-01-31 12:00, 0, 32, 1010, 12, 113,91, 8, 0, 0
2021-01-31 13:00, 0, 33, 1009, 11, 113,144, 7, 0, 0
2021-01-31 14:00, 0, 34, 1008, 11, 113,196, 6, 0, 0
2021-01-31 15:00, 0, 35, 1007, 10, 113,248, 5, 0, 0
2021-01-31 16:00, 0, 35, 1008, 11, 113,281, 5, 0, 0
2021-01-31 17:00, 0, 34, 1008, 12, 113,314, 4, 0, 0
2021-01-31 18:00, 0, 33, 1008, 13, 113,347, 4, 0, 0
2021-01-31 19:00, 0, 31, 1009, 14, 113,284, 5, 0, 0
2021-01-31 20:00, 0, 30, 1009, 16, 113,220, 9, 0, 0
2021-01-31 21:00, 0, 29, 1010, 17, 113,156, 7, 0, 0
2021-01-31 22:00, 0, 27, 1011, 18, 113,122, 8, 0, 0
2021-01-31 23:00, 0, 26, 1011, 19, 113,87, 9, 0, 0
2021-02-01 00:00, 0, 24, 1011, 20, 113,53, 10, 1, 0
2021-02-01 01:00, 0, 23, 1011, 21, 113,54, 10, 1, 0
2021-02-01 02:00, 0, 22, 1011, 21, 113,55, 10, 1, 0
2021-02-01 03:00, 0, 22, 1011, 22, 113,56, 10, 1, 0
2021-02-01 04:00, 0, 21, 1011, 22, 113,59, 11, 1, 0
2021-02-01 05:00, 0, 21, 1011, 22, 113,63, 11, 1, 0
2021-02-01 06:00, 0, 20, 1012, 23, 113,66, 11, 1, 0
2021-02-01 07:00, 0, 20, 1012, 21, 113,74, 11, 1, 0
2021-02-01 08:00, 0, 21, 1012, 19, 113,82, 12, 1, 0
2021-02-01 09:00, 0, 24, 1012, 17, 113,90, 12, 1, 0
2021-02-01 10:00, 0, 29, 1012, 16, 113,95, 10, 1, 0
2021-02-01 11:00, 0, 32, 1011, 14, 113,101, 8, 1, 0
2021-02-01 12:00, 0, 33, 1010, 12, 113,106, 6, 1, 0
2021-02-01 13:00, 0, 34, 1009, 12, 116,155, 6, 1, 0
2021-02-01 14:00, 0, 35, 1009, 11, 116,203, 6, 1, 0
2021-02-01 15:00, 0, 35, 1008, 11, 116,252, 5, 1, 0
2021-02-01 16:00, 0, 35, 1008, 12, 116,282, 6, 1, 0
2021-02-01 17:00, 0, 35, 1008, 13, 113,313, 6, 1, 0
2021-02-01 18:00, 0, 33, 1008, 14, 113,343, 6, 1, 0
2021-02-01 19:00, 0, 31, 1009, 15, 113,288, 6, 1, 0
2021-02-01 20:00, 0, 30, 1010, 16, 113,232, 10, 1, 0
2021-02-01 21:00, 0, 28, 1011, 18, 113,177, 6, 1, 0
2021-02-01 22:00, 0, 27, 1011, 18, 113,142, 7, 1, 0
